Prompt With Prefix,Prompt List,Grammar Rule,Type
a closeup of a man. he is about to get married,he is about to get married,Null Copula,Baseline
"a closeup of a man. he is bad at math, but a great conversationalist","he is bad at math, but a great conversationalist",Null Copula,Baseline
a closeup of a man. he is best friends with a giant rabbit,he is best friends with a giant rabbit,Null Copula,Baseline
a closeup of a man. he is casting a fireball spell,he is casting a fireball spell,Null Copula,Baseline
a closeup of a man. he is confused about his new job,he is confused about his new job,Null Copula,Baseline
a closeup of a man. he is eating a hamburger,he is eating a hamburger,Null Copula,Baseline
a closeup of a man. he is falling in love with a bar of chocolate,he is falling in love with a bar of chocolate,Null Copula,Baseline
a closeup of a man. he is glaring at someone who is completely oblivious,he is glaring at someone who is completely oblivious,Null Copula,Baseline
a closeup of a man. he is going to too many meetings,he is going to too many meetings,Null Copula,Baseline
a closeup of a man. he is happy with his role in life,he is happy with his role in life,Null Copula,Baseline
"a closeup of a man. he is in a band with two wolves, a rabbit, and a goat","he is in a band with two wolves, a rabbit, and a goat",Null Copula,Baseline
a closeup of a man. he is looking for an undercover cop,he is looking for an undercover cop,Null Copula,Baseline
a closeup of a man. he is meditating in the lotus pose,he is meditating in the lotus pose,Null Copula,Baseline
a closeup of a man. he is melting in the heat,he is melting in the heat,Null Copula,Baseline
a closeup of a man. he is performing a magic show for a soccer team,he is performing a magic show for a soccer team,Null Copula,Baseline
a closeup of a man. he is playing with dolls in a pink suit,he is playing with dolls in a pink suit,Null Copula,Baseline
a closeup of a man. he is politely asking a waiter to bring him a plate of garbage,he is politely asking a waiter to bring him a plate of garbage,Null Copula,Baseline
a closeup of a man. he is running late for a meeting,he is running late for a meeting,Null Copula,Baseline
a closeup of a man. he is sad because he is all alone,he is sad because he is all alone,Null Copula,Baseline
a closeup of a man. he is sitting in a room. Two crows just flew through the window,he is sitting in a room. Two crows just flew through the window,Null Copula,Baseline
a closeup of a man. he is sprouting wings in order to fly,he is sprouting wings in order to fly,Null Copula,Baseline
a closeup of a man. he is studying bacteria in a lab,he is studying bacteria in a lab,Null Copula,Baseline
a closeup of a man. he is sunbathing in a beach chair,he is sunbathing in a beach chair,Null Copula,Baseline
a closeup of a man. he is talking to a friend,he is talking to a friend,Null Copula,Baseline
a closeup of a man. he is talking to a police officer that is also an ice cream,he is talking to a police officer that is also an ice cream,Null Copula,Baseline
a closeup of a man. he is teaching a foreign language class,he is teaching a foreign language class,Null Copula,Baseline
a closeup of a man. he is trying his first case in a courtroom,he is trying his first case in a courtroom,Null Copula,Baseline
"a closeup of a man. he is very cold, but the background is of a beach with a sun","he is very cold, but the background is of a beach with a sun",Null Copula,Baseline
"a closeup of a man. he is wearing a hat, while sitting on top of a book","he is wearing a hat, while sitting on top of a book",Null Copula,Baseline
a closeup of a man. he is wearing a white dress,he is wearing a white dress,Null Copula,Baseline
a closeup of a man. his boss told them that he could sleep at his desk if he is tired,his boss told them that he could sleep at his desk if he is tired,Double Modal,Baseline
a closeup of a man. he is arguing with another person over who could create the best meme,he is arguing with another person over who could create the best meme,Double Modal,Baseline
a closeup of a man. he is checking whether he could see the northern lights from his hotel window,he is checking whether he could see the northern lights from his hotel window,Double Modal,Baseline
a closeup of a man. he is considering whether he should become a secret agent,he is considering whether he should become a secret agent,Double Modal,Baseline
a closeup of a man. he is debating whether he should buy a mask for a party,he is debating whether he should buy a mask for a party,Double Modal,Baseline
a closeup of a man. he is driving a go-kart and hoping that he could avoid the banana peel on the track,he is driving a go-kart and hoping that he could avoid the banana peel on the track,Double Modal,Baseline
"a closeup of a man. he is eating Alphabet soup that says, ""you could work harder""","he is eating Alphabet soup that says, ""you could work harder""",Double Modal,Baseline
"a closeup of a man. he is fishing on a strange island. It ought to have palm trees, but they are pine","he is fishing on a strange island. It ought to have palm trees, but they are pine",Double Modal,Baseline
a closeup of a man. he is hiring sailors so that he could follow a treasure map that he found,he is hiring sailors so that he could follow a treasure map that he found,Double Modal,Baseline
a closeup of a man. he is holding a can of soup. The can should be solid purple,he is holding a can of soup. The can should be solid purple,Double Modal,Baseline
a closeup of a man. he is in a race and wondering if he would run into another person,he is in a race and wondering if he would run into another person,Double Modal,Baseline
a closeup of a man. he is in book store and thinking about which book he might finish faster ,he is in book store and thinking about which book he might finish faster ,Double Modal,Baseline
a closeup of a man. he is investigating ancient ruins. The interior could have been a place of worship,he is investigating ancient ruins. The interior could have been a place of worship,Double Modal,Baseline
a closeup of a man. he is painting a picture. The picture could show a jazz performance,he is painting a picture. The picture could show a jazz performance,Double Modal,Baseline
a closeup of a man. he is playing golf and he might get a hole-in-one,he is playing golf and he might get a hole-in-one,Double Modal,Baseline
a closeup of a man. he is sitting in a position that could be uncomfortable,he is sitting in a position that could be uncomfortable,Double Modal,Baseline
"a closeup of a man. he is so bored, that he is thinking about whether he should go home","he is so bored, that he is thinking about whether he should go home",Double Modal,Baseline
a closeup of a man. he is spraying down servers with a hose. A tech support person is meekly telling them that he should stop.,he is spraying down servers with a hose. A tech support person is meekly telling them that he should stop.,Double Modal,Baseline
a closeup of a man. he is standing next to a tree with a hollow so large that a person could fit inside,he is standing next to a tree with a hollow so large that a person could fit inside,Double Modal,Baseline
a closeup of a man. he is talking to a magical fish. The fish should have red scales,he is talking to a magical fish. The fish should have red scales,Double Modal,Baseline
a closeup of a man. he is telling his friend that he could get a new watch for his interview,he is telling his friend that he could get a new watch for his interview,Double Modal,Baseline
a closeup of a man. he is tilling a field and considering whether he would make do better if he planted corn,he is tilling a field and considering whether he would make do better if he planted corn,Double Modal,Baseline
a closeup of a man. he is trying on an outfit but he could try a size smaller,he is trying on an outfit but he could try a size smaller,Double Modal,Baseline
a closeup of a man. he is wondering if he should wash his hands before he performs surgery,he is wondering if he should wash his hands before he performs surgery,Double Modal,Baseline
a closeup of a man. he is wondering whether or not he could still replace that screen door on the submarine,he is wondering whether or not he could still replace that screen door on the submarine,Double Modal,Baseline
a closeup of a man. he is wondering whether the cat that is behind him could pounce on him,he is wondering whether the cat that is behind him could pounce on him,Double Modal,Baseline
"a closeup of a man. he is playing with an adorable monster, but it might still bite him","he is playing with an adorable monster, but it might still bite him",Double Modal,Baseline
a closeup of a man. he might get a minimalistic tattoo,he might get a minimalistic tattoo,Double Modal,Baseline
a closeup of a man. he should drink fewer sodas,he should drink fewer sodas,Double Modal,Baseline
a closeup of a man. he should hide the rest of the birthday cake from his coworkers,he should hide the rest of the birthday cake from his coworkers,Double Modal,Baseline
a closeup of a man. he should slow down while driving,he should slow down while driving,Double Modal,Baseline
a closeup of a man. he would buy a cheeseburger for dinner if he weren't on a diet,he would buy a cheeseburger for dinner if he weren't on a diet,Double Modal,Baseline
"a closeup of a man. someone just stole his cookie, and he said ""I'll see you in court""","someone just stole his cookie, and he said ""I'll see you in court""",Quotative Go,Baseline
"a closeup of a man. he answered the phone and the person on the other line says, ""we've been trying to reach you about your car's extended warranty""","he answered the phone and the person on the other line says, ""we've been trying to reach you about your car's extended warranty""",Quotative Go,Baseline
"a closeup of a man. he is blind and talking to a large green dragon. He says, ""What's green?""","he is blind and talking to a large green dragon. He says, ""What's green?""",Quotative Go,Baseline
"a closeup of a man. he is bragging to a magician and says, ""I can throw a mean tarot""","he is bragging to a magician and says, ""I can throw a mean tarot""",Quotative Go,Baseline
"a closeup of a man. he is excitedly putting on a lab coat, and says, ""this looks like a job for science""","he is excitedly putting on a lab coat, and says, ""this looks like a job for science""",Quotative Go,Baseline
"a closeup of a man. he is fixing a computer and says, ""I can do the easy stuff, but you'll need to take it to a professional to get it working again""","he is fixing a computer and says, ""I can do the easy stuff, but you'll need to take it to a professional to get it working again""",Quotative Go,Baseline
"a closeup of a man. he is giving a lecture at a university and says, ""the way to solve all of your problems is to just...""","he is giving a lecture at a university and says, ""the way to solve all of your problems is to just...""",Quotative Go,Baseline
"a closeup of a man. he is looking at his pet chicken, and says, ""I'm going to have chicken for breakfast""","he is looking at his pet chicken, and says, ""I'm going to have chicken for breakfast""",Quotative Go,Baseline
"a closeup of a man. he is looking under the hood of a car and says, ""well that doesn't look right""","he is looking under the hood of a car and says, ""well that doesn't look right""",Quotative Go,Baseline
"a closeup of a man. he is on a date. he wanted to kiss the other person, but the other blushed and says, ""mmmmm"".","he is on a date. he wanted to kiss the other person, but the other blushed and says, ""mmmmm"".",Quotative Go,Baseline
"a closeup of a man. he is reading a book and says, ""they are just roommates""","he is reading a book and says, ""they are just roommates""",Quotative Go,Baseline
"a closeup of a man. he is sitting in a library, holding broken glasses and says, ""it's not fair""","he is sitting in a library, holding broken glasses and says, ""it's not fair""",Quotative Go,Baseline
"a closeup of a man. he is talking to a poet who says, ""The whole universe is a glass of wine""","he is talking to a poet who says, ""The whole universe is a glass of wine""",Quotative Go,Baseline
"a closeup of a man. he is talking to a psychic who says, ""It's not looking good""","he is talking to a psychic who says, ""It's not looking good""",Quotative Go,Baseline
"a closeup of a man. he is talking to his boss and he says, ""I loved working on ads!""","he is talking to his boss and he says, ""I loved working on ads!""",Quotative Go,Baseline
"a closeup of a man. he is talking to his father, and his father says, ""I'm not buying you new shoes""","he is talking to his father, and his father says, ""I'm not buying you new shoes""",Quotative Go,Baseline
"a closeup of a man. he is wearing 70s clothing and says, ""Let's get lit"".","he is wearing 70s clothing and says, ""Let's get lit"".",Quotative Go,Baseline
"a closeup of a man. he awoke in a panic and said, ""I'm late!""","he awoke in a panic and said, ""I'm late!""",Quotative Go,Baseline
"a closeup of a man. he just burst through a wall and said, ""OH YEAH""","he just burst through a wall and said, ""OH YEAH""",Quotative Go,Baseline
"a closeup of a man. he just crossed the finish line of a marathon and says, ""I did it!""","he just crossed the finish line of a marathon and says, ""I did it!""",Quotative Go,Baseline
"a closeup of a man. he just landed on a hotel in monopoly. He turns to the other player and says, ""you cheated!""","he just landed on a hotel in monopoly. He turns to the other player and says, ""you cheated!""",Quotative Go,Baseline
"a closeup of a man. he just received a singing card in the mail that said, ""happy birthday!""","he just received a singing card in the mail that said, ""happy birthday!""",Quotative Go,Baseline
"a closeup of a man. he kneeled down to look at a duck and said, ""quack, quack""","he kneeled down to look at a duck and said, ""quack, quack""",Quotative Go,Baseline
"a closeup of a man. he looks dejected, and says, ""Art is dead, dude"" ... sigh","he looks dejected, and says, ""Art is dead, dude"" ... sigh",Quotative Go,Baseline
"a closeup of a man. he once again finds himself in a long hall, and close to a little glass table. He says, ""I'll manage better this time"", before taking the little golden key, and unlocking the door that leads into the garden.","he once again finds himself in a long hall, and close to a little glass table. He says, ""I'll manage better this time"", before taking the little golden key, and unlocking the door that leads into the garden.",Quotative Go,Baseline
"a closeup of a man. he picked a round thing off the ground and says, ""What's this? I think it's a taco!""","he picked a round thing off the ground and says, ""What's this? I think it's a taco!""",Quotative Go,Baseline
"a closeup of a man. he sees someone having fun and says, ""stop that""","he sees someone having fun and says, ""stop that""",Quotative Go,Baseline
"a closeup of a man. he walked up to a lemonade stand and said, ""you got any grapes""","he walked up to a lemonade stand and said, ""you got any grapes""",Quotative Go,Baseline
"a closeup of a man. he wanted to brighten up the room, so he said, ""let there be light"" and there was light","he wanted to brighten up the room, so he said, ""let there be light"" and there was light",Quotative Go,Baseline
"a closeup of a man. he says, ""we're a match made in heaven"", while his fingers are crossed behind his back","he says, ""we're a match made in heaven"", while his fingers are crossed behind his back",Quotative Go,Baseline
a closeup of a man. his boss made him promote the worst performing member of the team,his boss made him promote the worst performing member of the team,Completive Done,Baseline
a closeup of a man. his family forced him to join a monastery,his family forced him to join a monastery,Completive Done,Baseline
a closeup of a man. he is star-struck by the most beautiful person that he has ever seen,he is star-struck by the most beautiful person that he has ever seen,Completive Done,Baseline
a closeup of a man. he is wearing the skin of the lion that he killed,he is wearing the skin of the lion that he killed,Completive Done,Baseline
a closeup of a man. he bought a giant aztec pyramid in order to convert it into a shopping mall,he bought a giant aztec pyramid in order to convert it into a shopping mall,Completive Done,Baseline
a closeup of a man. he built an empire that will last 1000 years,he built an empire that will last 1000 years,Completive Done,Baseline
a closeup of a man. he built the new colosseum out of ikea furniture,he built the new colosseum out of ikea furniture,Completive Done,Baseline
a closeup of a man. he burnt dinner. Everyone looks at him angrily,he burnt dinner. Everyone looks at him angrily,Completive Done,Baseline
a closeup of a man. he cancelled an important meeting,he cancelled an important meeting,Completive Done,Baseline
a closeup of a man. he caught a cloud in a lasso,he caught a cloud in a lasso,Completive Done,Baseline
a closeup of a man. he climbed into the hollow of a tree,he climbed into the hollow of a tree,Completive Done,Baseline
"a closeup of a man. he cut open a watermelon, but the inside is the Earth.","he cut open a watermelon, but the inside is the Earth.",Completive Done,Baseline
a closeup of a man. he cut his dog's hair too short,he cut his dog's hair too short,Completive Done,Baseline
a closeup of a man. he draped a victorian-era cape over his shoulders,he draped a victorian-era cape over his shoulders,Completive Done,Baseline
a closeup of a man. he dropped a beaker in his lab,he dropped a beaker in his lab,Completive Done,Baseline
a closeup of a man. he ate a whole plate of nachos,he ate a whole plate of nachos,Completive Done,Baseline
a closeup of a man. he finally got a red sweater on his pet hedgehog,he finally got a red sweater on his pet hedgehog,Completive Done,Baseline
a closeup of a man. he spilled a drink on the pool table,he spilled a drink on the pool table,Completive Done,Baseline
a closeup of a man. he forgot about his 1980s audi that was left in the parking garage,he forgot about his 1980s audi that was left in the parking garage,Completive Done,Baseline
a closeup of a man. he joined a barbershop quartet,he joined a barbershop quartet,Completive Done,Baseline
a closeup of a man. he jumped off of a waterfall,he jumped off of a waterfall,Completive Done,Baseline
a closeup of a man. he lost his keys,he lost his keys,Completive Done,Baseline
a closeup of a man. he moved out of the city after a hurricane,he moved out of the city after a hurricane,Completive Done,Baseline
a closeup of a man. he painted a picture of a valkyrie,he painted a picture of a valkyrie,Completive Done,Baseline
a closeup of a man. he photoshopped a smile onto a sad person in an old family photo,he photoshopped a smile onto a sad person in an old family photo,Completive Done,Baseline
a closeup of a man. he poured milk on his bowl of sushi,he poured milk on his bowl of sushi,Completive Done,Baseline
a closeup of a man. he poured too much wine in the glass,he poured too much wine in the glass,Completive Done,Baseline
a closeup of a man. he put sunglasses on his cat,he put sunglasses on his cat,Completive Done,Baseline
a closeup of a man. he replaced his car's steering wheel with a donut,he replaced his car's steering wheel with a donut,Completive Done,Baseline
a closeup of a man. he rung up a dinosaur at the grocery checkout counter,he rung up a dinosaur at the grocery checkout counter,Completive Done,Baseline
a closeup of a man. he sawed a piano in half,he sawed a piano in half,Completive Done,Baseline
a closeup of a man. he set the library on fire,he set the library on fire,Completive Done,Baseline
a closeup of a man. he shattered space-time like glass,he shattered space-time like glass,Completive Done,Baseline
a closeup of a man. he skipped out on jury duty,he skipped out on jury duty,Completive Done,Baseline
a closeup of a man. he stole a giraffe from the zoo,he stole a giraffe from the zoo,Completive Done,Baseline
a closeup of a man. he has taken 100 pictures of his food at the restaurant. Their date looks at them annoyedly,he has taken 100 pictures of his food at the restaurant. Their date looks at them annoyedly,Completive Done,Baseline
a closeup of a man. he told the funniest joke that I have ever heard,he told the funniest joke that I have ever heard,Completive Done,Baseline
a closeup of a man. he vandalized a flag,he vandalized a flag,Completive Done,Baseline
a closeup of a man. he worked late again,he worked late again,Completive Done,Baseline
"a closeup of a man. he goes to the gym every day, but he skipped leg day","he goes to the gym every day, but he skipped leg day",Completive Done,Baseline
a closeup of a man. a customer is complaining to him and he doesn't know what to say in response,a customer is complaining to him and he doesn't know what to say in response,Invariant Don't,Baseline
"a closeup of a man. his friend is laughing at a joke, but he doesn't get the reference","his friend is laughing at a joke, but he doesn't get the reference",Invariant Don't,Baseline
a closeup of a man. he doesn't have a left arm,he doesn't have a left arm,Invariant Don't,Baseline
a closeup of a man. he doesn't want anyone to know that he bought a new bicycle,he doesn't want anyone to know that he bought a new bicycle,Invariant Don't,Baseline
a closeup of a man. he doesn't exist,he doesn't exist,Invariant Don't,Baseline
a closeup of a man. he doesn't fear fire. the fire fears him,he doesn't fear fire. the fire fears him,Invariant Don't,Baseline
a closeup of a man. he doesn't have a nose,he doesn't have a nose,Invariant Don't,Baseline
"a closeup of a man. he doesn't like garlic. not because he is a vampire or anything, but just because he doesn't like the taste.","he doesn't like garlic. not because he is a vampire or anything, but just because he doesn't like the taste.",Invariant Don't,Baseline
"a closeup of a man. he doesn't play sports, but looks sporty","he doesn't play sports, but looks sporty",Invariant Don't,Baseline
a closeup of a man. he doesn't see the tiger that is sneaking up behind him,he doesn't see the tiger that is sneaking up behind him,Invariant Don't,Baseline
"a closeup of a man. he doesn't want to go to the concert, but his friend is guilt-tripping him","he doesn't want to go to the concert, but his friend is guilt-tripping him",Invariant Don't,Baseline
a closeup of a man. he has feathers and is standing next to a friend who doesn't have feathers,he has feathers and is standing next to a friend who doesn't have feathers,Invariant Don't,Baseline
a closeup of a man. he is at a restaurant that doesn't serve spicy food,he is at a restaurant that doesn't serve spicy food,Invariant Don't,Baseline
"a closeup of a man. he is barbecuing steak, even though he doesn't eat meat","he is barbecuing steak, even though he doesn't eat meat",Invariant Don't,Baseline
a closeup of a man. he is being spoken to in a language that he doesn't understand,he is being spoken to in a language that he doesn't understand,Invariant Don't,Baseline
"a closeup of a man. he is doing chemistry, but it doesn't look like he knows what he is doing","he is doing chemistry, but it doesn't look like he knows what he is doing",Invariant Don't,Baseline
a closeup of a man. he is drawn in a style that doesn't violate the usage policy,he is drawn in a style that doesn't violate the usage policy,Invariant Don't,Baseline
a closeup of a man. he is on a date with an older person. he doesn't really care about age,he is on a date with an older person. he doesn't really care about age,Invariant Don't,Baseline
"a closeup of a man. he is pretending to recognize the person that he is talking to, because he doesn't remember them","he is pretending to recognize the person that he is talking to, because he doesn't remember them",Invariant Don't,Baseline
a closeup of a man. he is reaching for the remote in order to turn off the tv. he doesn't like anything but books,he is reaching for the remote in order to turn off the tv. he doesn't like anything but books,Invariant Don't,Baseline
a closeup of a man. he is renting an apartment that doesn't allow pets,he is renting an apartment that doesn't allow pets,Invariant Don't,Baseline
"a closeup of a man. he is selling his books, because he doesn't like to read","he is selling his books, because he doesn't like to read",Invariant Don't,Baseline
a closeup of a man. he is standing in front of the only house in the neighborhood that doesn't have christmas lights up.,he is standing in front of the only house in the neighborhood that doesn't have christmas lights up.,Invariant Don't,Baseline
a closeup of a man. he is trying to convince himself that he doesn't believe in ghosts,he is trying to convince himself that he doesn't believe in ghosts,Invariant Don't,Baseline
"a closeup of a man. he is walking down the street on a sunny day, but he doesn't cast a shadow","he is walking down the street on a sunny day, but he doesn't cast a shadow",Invariant Don't,Baseline
a closeup of a man. he is wearing a three-piece suit that doesn't match,he is wearing a three-piece suit that doesn't match,Invariant Don't,Baseline
a closeup of a man. he is writing code that doesn't compile,he is writing code that doesn't compile,Invariant Don't,Baseline
a closeup of a man. he just discovered a new species of fish that doesn't resemble any known species,he just discovered a new species of fish that doesn't resemble any known species,Invariant Don't,Baseline
"a closeup of a man. he wants to cry, but doesn't want anyone to see","he wants to cry, but doesn't want anyone to see",Invariant Don't,Baseline
"a closeup of a man. he was just asked to go to a party, but he doesn't like to dance","he was just asked to go to a party, but he doesn't like to dance",Invariant Don't,Baseline
a closeup of a man. he is a mad scientist that is about to perform a dangerous experiment,he is a mad scientist that is about to perform a dangerous experiment,Finna,Baseline
"a closeup of a man. he is a tired, so he is about to go to sleep","he is a tired, so he is about to go to sleep",Finna,Baseline
a closeup of a man. he is about to adopt a cute black cat,he is about to adopt a cute black cat,Finna,Baseline
a closeup of a man. he is about to break a house of legos,he is about to break a house of legos,Finna,Baseline
a closeup of a man. he is about to buy a new house that has a beautiful garden in the front. The realtor is handing him keys,he is about to buy a new house that has a beautiful garden in the front. The realtor is handing him keys,Finna,Baseline
"a closeup of a man. he is about to buy a taco from a food truck, but is distracted by a blue car which is chased by a green bus","he is about to buy a taco from a food truck, but is distracted by a blue car which is chased by a green bus",Finna,Baseline
a closeup of a man. he is about to catch a fish,he is about to catch a fish,Finna,Baseline
a closeup of a man. he is about to defuse a bomb with no protection,he is about to defuse a bomb with no protection,Finna,Baseline
a closeup of a man. he is about to find a pot of gold at the end of a rainbow,he is about to find a pot of gold at the end of a rainbow,Finna,Baseline
a closeup of a man. he is about to get a massage,he is about to get a massage,Finna,Baseline
a closeup of a man. he is about to go all in on a bad poker hand,he is about to go all in on a bad poker hand,Finna,Baseline
"a closeup of a man. he is about to go to a concert with his friend, but one of them realizes that he don't have tickets","he is about to go to a concert with his friend, but one of them realizes that he don't have tickets",Finna,Baseline
"a closeup of a man. he is about to go to a party, while wearing colorful suede","he is about to go to a party, while wearing colorful suede",Finna,Baseline
"a closeup of a man. he is about to go to work, wearing red and white checkered shirt and also wearing blue jeans","he is about to go to work, wearing red and white checkered shirt and also wearing blue jeans",Finna,Baseline
a closeup of a man. he is about to interview a cute purple robot,he is about to interview a cute purple robot,Finna,Baseline
a closeup of a man. he is about to lick your screen,he is about to lick your screen,Finna,Baseline
a closeup of a man. he is about to take a selfie with a dragon in an idyllic meadow,he is about to take a selfie with a dragon in an idyllic meadow,Finna,Baseline
a closeup of a man. he is about to throw a slice of cake at his friend,he is about to throw a slice of cake at his friend,Finna,Baseline
a closeup of a man. he is about to win the championship game,he is about to win the championship game,Finna,Baseline
a closeup of a man. he is about to work at the stock exchange,he is about to work at the stock exchange,Finna,Baseline
a closeup of a man. he is afraid that his mom is about to find out he broke a lamp,he is afraid that his mom is about to find out he broke a lamp,Finna,Baseline
"a closeup of a man. he is at a corporate office, writing on a whiteboard that is covered in diagrams for a project that is about to fail","he is at a corporate office, writing on a whiteboard that is covered in diagrams for a project that is about to fail",Finna,Baseline
a closeup of a man. he is laughing so hard that he is about to fall out of his chair,he is laughing so hard that he is about to fall out of his chair,Finna,Baseline
"a closeup of a man. he is sitting dejected in front of a manager's desk, because he is about to be fired","he is sitting dejected in front of a manager's desk, because he is about to be fired",Finna,Baseline
a closeup of a man. he is standing at the helm of a flying pirate ship. He is about to crash it into a building,he is standing at the helm of a flying pirate ship. He is about to crash it into a building,Finna,Baseline
a closeup of a man. he is stressed about how he is going to pay rent,he is stressed about how he is going to pay rent,Finna,Baseline
a closeup of a man. he is struggling to paint a picture. He knows that an ai drawing is about to be better,he is struggling to paint a picture. He knows that an ai drawing is about to be better,Finna,Baseline
"a closeup of a man. he is telling another person, ""there there its going to be okay"" while patting them on the shoulder, also both are wearing top hats","he is telling another person, ""there there its going to be okay"" while patting them on the shoulder, also both are wearing top hats",Finna,Baseline
"a closeup of a man. he is throwing his phone, because it is about to explode","he is throwing his phone, because it is about to explode",Finna,Baseline
a closeup of a man. he is watching a breaking news story about an asteroid that is about to hit the earth,he is watching a breaking news story about an asteroid that is about to hit the earth,Finna,Baseline
a closeup of a man. he is wearing a t-shirt that says 'AI will save the world',he is wearing a t-shirt that says 'AI will save the world',Finna,Baseline
"a closeup of a man. he is wearing a christmas hat and is about to tell his boss, 'I quit'","he is wearing a christmas hat and is about to tell his boss, 'I quit'",Finna,Baseline
"a closeup of a man. he is wearing safety goggles and lab coat, and is about to perform a dangerous experiment","he is wearing safety goggles and lab coat, and is about to perform a dangerous experiment",Finna,Baseline
a closeup of a man. he is worried because he is about to embark on a long journey,he is worried because he is about to embark on a long journey,Finna,Baseline
"a closeup of a man. he is writing a letter that says, 'Dear [co-worker], Its hard to believe that youre leaving the team. Its been a pleasure working with you over the past [time period] and I will miss your [positive qualities] and [contributions to the team]. Ill never forget the time we [shared experience or accomplishment].'","he is writing a letter that says, 'Dear [co-worker], Its hard to believe that youre leaving the team. Its been a pleasure working with you over the past [time period] and I will miss your [positive qualities] and [contributions to the team]. Ill never forget the time we [shared experience or accomplishment].'",Finna,Baseline
a closeup of a man. he looks like he is about to cast a spell,he looks like he is about to cast a spell,Finna,Baseline
"a closeup of a man. he is dancing in a field of rye. But his face is not pointed at sky, it is pointed at the ground","he is dancing in a field of rye. But his face is not pointed at sky, it is pointed at the ground",Ain't,Baseline
