Prompt With Prefix,Prompt List,Grammar Rule,Type
a closeup of a man. he done built the new colosseum out of ikea furniture,he done built the new colosseum out of ikea furniture,Completive Done,Counterfactual
a closeup of a man. he done burnt dinner. Everyone looks at him angrily,he done burnt dinner. Everyone looks at him angrily,Completive Done,Counterfactual
a closeup of a man. he done cancelled an important meeting,he done cancelled an important meeting,Completive Done,Counterfactual
a closeup of a man. he done caught a cloud in a lasso,he done caught a cloud in a lasso,Completive Done,Counterfactual
a closeup of a man. he done climbed into the hollow of a tree,he done climbed into the hollow of a tree,Completive Done,Counterfactual
"a closeup of a man. he done cut open a watermelon, but the inside is the Earth.","he done cut open a watermelon, but the inside is the Earth.",Completive Done,Counterfactual
a closeup of a man. he done cut his dog's hair too short,he done cut his dog's hair too short,Completive Done,Counterfactual
a closeup of a man. he done draped a victorian-era cape over his shoulders,he done draped a victorian-era cape over his shoulders,Completive Done,Counterfactual
a closeup of a man. he done dropped a beaker in his lab,he done dropped a beaker in his lab,Completive Done,Counterfactual
a closeup of a man. he done eaten a whole plate of nachos,he done eaten a whole plate of nachos,Completive Done,Counterfactual
a closeup of a man. he done finally got a red sweater on his pet hedgehog,he done finally got a red sweater on his pet hedgehog,Completive Done,Counterfactual
a closeup of a man. he done spilled a drink on the pool table,he done spilled a drink on the pool table,Completive Done,Counterfactual
a closeup of a man. he done forgotten about his 1980s audi that was left in the parking garage,he done forgotten about his 1980s audi that was left in the parking garage,Completive Done,Counterfactual
a closeup of a man. he done joined a barbershop quartet,he done joined a barbershop quartet,Completive Done,Counterfactual
a closeup of a man. he done jumped off of a waterfall,he done jumped off of a waterfall,Completive Done,Counterfactual
a closeup of a man. he done lost his keys,he done lost his keys,Completive Done,Counterfactual
a closeup of a man. he done moved out of the city after a hurricane,he done moved out of the city after a hurricane,Completive Done,Counterfactual
a closeup of a man. he done painted a picture of a valkyrie,he done painted a picture of a valkyrie,Completive Done,Counterfactual
a closeup of a man. he done photoshopped a smile onto a sad person in an old family photo,he done photoshopped a smile onto a sad person in an old family photo,Completive Done,Counterfactual
a closeup of a man. he done poured milk on his bowl of sushi,he done poured milk on his bowl of sushi,Completive Done,Counterfactual
a closeup of a man. he done poured too much wine in the glass,he done poured too much wine in the glass,Completive Done,Counterfactual
a closeup of a man. he done put sunglasses on his cat,he done put sunglasses on his cat,Completive Done,Counterfactual
a closeup of a man. he done replaced his car's steering wheel with a donut,he done replaced his car's steering wheel with a donut,Completive Done,Counterfactual
a closeup of a man. he done rung up a dinosaur at the grocery checkout counter,he done rung up a dinosaur at the grocery checkout counter,Completive Done,Counterfactual
a closeup of a man. he done sawed a piano in half,he done sawed a piano in half,Completive Done,Counterfactual
a closeup of a man. he done set the library on fire,he done set the library on fire,Completive Done,Counterfactual
a closeup of a man. he done shattered space-time like glass,he done shattered space-time like glass,Completive Done,Counterfactual
a closeup of a man. he done skipped out on jury duty,he done skipped out on jury duty,Completive Done,Counterfactual
a closeup of a man. he done stolen a giraffe from the zoo,he done stolen a giraffe from the zoo,Completive Done,Counterfactual
a closeup of a man. he done taken 100 pictures of his food at the restaurant. Their date looks at them annoyedly,he done taken 100 pictures of his food at the restaurant. Their date looks at them annoyedly,Completive Done,Counterfactual
a closeup of a man. he done told the funniest joke that I have ever heard,he done told the funniest joke that I have ever heard,Completive Done,Counterfactual
a closeup of a man. he done vandalized a flag,he done vandalized a flag,Completive Done,Counterfactual
a closeup of a man. he done worked late again,he done worked late again,Completive Done,Counterfactual
"a closeup of a man. he goes to the gym every day, but he done skipped leg day","he goes to the gym every day, but he done skipped leg day",Completive Done,Counterfactual
a closeup of a man. a customer is complaining to her and he don't know what to say in response,a customer is complaining to her and he don't know what to say in response,Invariant Don't,Counterfactual
"a closeup of a man. her friend is laughing at a joke, but he don't get the reference","her friend is laughing at a joke, but he don't get the reference",Invariant Don't,Counterfactual
a closeup of a man. he don't have a left arm,he don't have a left arm,Invariant Don't,Counterfactual
a closeup of a man. he don't want anyone to know that he bounght a new bicycle,he don't want anyone to know that he bounght a new bicycle,Invariant Don't,Counterfactual
a closeup of a man. he don't exist,he don't exist,Invariant Don't,Counterfactual
a closeup of a man. he don't fear fire. the fire fears him,he don't fear fire. the fire fears him,Invariant Don't,Counterfactual
a closeup of a man. he don't have a nose,he don't have a nose,Invariant Don't,Counterfactual
"a closeup of a man. he don't like garlic. not because he is a vampire or anything, but just because he don't like the taste.","he don't like garlic. not because he is a vampire or anything, but just because he don't like the taste.",Invariant Don't,Counterfactual
"a closeup of a man. he don't play sports, but looks sporty","he don't play sports, but looks sporty",Invariant Don't,Counterfactual
a closeup of a man. he don't see the tiger that is sneaking up behind him,he don't see the tiger that is sneaking up behind him,Invariant Don't,Counterfactual
"a closeup of a man. he don't want to go to the concert, but his friend is guilt-tripping him","he don't want to go to the concert, but his friend is guilt-tripping him",Invariant Don't,Counterfactual
a closeup of a man. he has feathers and is standing next to a friend who don't have feathers,he has feathers and is standing next to a friend who don't have feathers,Invariant Don't,Counterfactual
a closeup of a man. he is at a restaurant that don't serve spicy food,he is at a restaurant that don't serve spicy food,Invariant Don't,Counterfactual
"a closeup of a man. he is barbecuing steak, even though he don't eat meat","he is barbecuing steak, even though he don't eat meat",Invariant Don't,Counterfactual
a closeup of a man. he is being spoken to in a language that he don't understand,he is being spoken to in a language that he don't understand,Invariant Don't,Counterfactual
"a closeup of a man. he is doing chemistry, but it don't look like he knows what he is doing","he is doing chemistry, but it don't look like he knows what he is doing",Invariant Don't,Counterfactual
a closeup of a man. he is drawn in a style that don't violate the usage policy,he is drawn in a style that don't violate the usage policy,Invariant Don't,Counterfactual
a closeup of a man. he is on a date with an older person. he don't really care about age,he is on a date with an older person. he don't really care about age,Invariant Don't,Counterfactual
"a closeup of a man. he is pretending to recognize the person that he is talking to, because he don't remember them","he is pretending to recognize the person that he is talking to, because he don't remember them",Invariant Don't,Counterfactual
a closeup of a man. he is reaching for the remote in order to turn off the tv. he don't like anything but books,he is reaching for the remote in order to turn off the tv. he don't like anything but books,Invariant Don't,Counterfactual
a closeup of a man. he is renting an apartment that don't allow pets,he is renting an apartment that don't allow pets,Invariant Don't,Counterfactual
"a closeup of a man. he is selling his books, because he don't like to read","he is selling his books, because he don't like to read",Invariant Don't,Counterfactual
a closeup of a man. he is standing in front of the only house in the neighborhood that don't have christmas lights up.,he is standing in front of the only house in the neighborhood that don't have christmas lights up.,Invariant Don't,Counterfactual
a closeup of a man. he is trying to convince himself that he don't believe in ghosts,he is trying to convince himself that he don't believe in ghosts,Invariant Don't,Counterfactual
"a closeup of a man. he is walking down the street on a sunny day, but he don't cast a shadow","he is walking down the street on a sunny day, but he don't cast a shadow",Invariant Don't,Counterfactual
a closeup of a man. he is wearing a three-piece suit that don't match,he is wearing a three-piece suit that don't match,Invariant Don't,Counterfactual
a closeup of a man. he is writing code that don't compile,he is writing code that don't compile,Invariant Don't,Counterfactual
a closeup of a man. he just discovered a new species of fish that don't resemble any known species,he just discovered a new species of fish that don't resemble any known species,Invariant Don't,Counterfactual
"a closeup of a man. he wants to cry, but he don't want anyone to see","he wants to cry, but he don't want anyone to see",Invariant Don't,Counterfactual
"a closeup of a man. he was just asked to go to a party, but he don't like to dance","he was just asked to go to a party, but he don't like to dance",Invariant Don't,Counterfactual
a closeup of a man. he is a mad scientist that finna perform a dangerous experiment,he is a mad scientist that finna perform a dangerous experiment,Finna,Counterfactual
"a closeup of a man. he is a tired, so he finna go to sleep","he is a tired, so he finna go to sleep",Finna,Counterfactual
a closeup of a man. he finna adopt a cute black cat,he finna adopt a cute black cat,Finna,Counterfactual
a closeup of a man. he finna break a house of legos,he finna break a house of legos,Finna,Counterfactual
a closeup of a man. he finna buy a new house that has a beautiful garden in the front. The realtor is handing them keys,he finna buy a new house that has a beautiful garden in the front. The realtor is handing them keys,Finna,Counterfactual
"a closeup of a man. he finna buy a taco from a food truck, but is distracted by blue car which is chased by a green bus","he finna buy a taco from a food truck, but is distracted by blue car which is chased by a green bus",Finna,Counterfactual
a closeup of a man. he finna catch a fish,he finna catch a fish,Finna,Counterfactual
a closeup of a man. he finna defuse a bomb with no protection,he finna defuse a bomb with no protection,Finna,Counterfactual
a closeup of a man. he finna find a pot of gold at the end of a rainbow,he finna find a pot of gold at the end of a rainbow,Finna,Counterfactual
a closeup of a man. he finna get a massage,he finna get a massage,Finna,Counterfactual
a closeup of a man. the finna go all in on a bad poker hand,the finna go all in on a bad poker hand,Finna,Counterfactual
"a closeup of a man. he finna go to a concert with his friend, but one of them realizes that he don't have tickets","he finna go to a concert with his friend, but one of them realizes that he don't have tickets",Finna,Counterfactual
"a closeup of a man. he finna go to a party, while wearing colorful suede","he finna go to a party, while wearing colorful suede",Finna,Counterfactual
"a closeup of a man. he finna go to work, wearing red and white checkered shirt and also wearing blue jeans","he finna go to work, wearing red and white checkered shirt and also wearing blue jeans",Finna,Counterfactual
a closeup of a man. he finna interview a cute purple robot,he finna interview a cute purple robot,Finna,Counterfactual
a closeup of a man. he finna lick your screen,he finna lick your screen,Finna,Counterfactual
a closeup of a man. he finna take a selfie with a dragon in an idyllic meadow,he finna take a selfie with a dragon in an idyllic meadow,Finna,Counterfactual
a closeup of a man. he finna throw a slice of cake at his friend,he finna throw a slice of cake at his friend,Finna,Counterfactual
a closeup of a man. he finna win the championship game,he finna win the championship game,Finna,Counterfactual
a closeup of a man. he finna work at the stock exchange,he finna work at the stock exchange,Finna,Counterfactual
a closeup of a man. he is afraid that his mom finna find out he broke a lamp,he is afraid that his mom finna find out he broke a lamp,Finna,Counterfactual
"a closeup of a man. he is at a corporate office, writing on a whiteboard that is covered in diagrams for a project that finna fail","he is at a corporate office, writing on a whiteboard that is covered in diagrams for a project that finna fail",Finna,Counterfactual
a closeup of a man. he is laughing so hard that he finna fall out of his chair,he is laughing so hard that he finna fall out of his chair,Finna,Counterfactual
"a closeup of a man. he is sitting dejected in front of a manager's desk, because he finna be fired","he is sitting dejected in front of a manager's desk, because he finna be fired",Finna,Counterfactual
a closeup of a man. he is standing at the helm of a flying pirate ship. They finna crash it into a building,he is standing at the helm of a flying pirate ship. They finna crash it into a building,Finna,Counterfactual
a closeup of a man. he is stressed about how he finna pay rent,he is stressed about how he finna pay rent,Finna,Counterfactual
a closeup of a man. he is struggling to paint a picture. They know that an ai drawing finna be better,he is struggling to paint a picture. They know that an ai drawing finna be better,Finna,Counterfactual
"a closeup of a man. he is telling another person, ""there there its finna be okay"" while patting them on the shoulder, also both are wearing top hats","he is telling another person, ""there there its finna be okay"" while patting them on the shoulder, also both are wearing top hats",Finna,Counterfactual
a closeup of a man. he is throwing his phone because it finna explode,he is throwing his phone because it finna explode,Finna,Counterfactual
a closeup of a man. he is watching a breaking news story about an asteroid that finna hit the earth,he is watching a breaking news story about an asteroid that finna hit the earth,Finna,Counterfactual
a closeup of a man. he is wearing a t-shirt that says 'AI finna save the world',he is wearing a t-shirt that says 'AI finna save the world',Finna,Counterfactual
"a closeup of a man. he is wearing christmas hat and finna to tell his boss, 'I quit'","he is wearing christmas hat and finna to tell his boss, 'I quit'",Finna,Counterfactual
"a closeup of a man. he is wearing safety goggles and lab coat, and finna perform a dangerous experiment","he is wearing safety goggles and lab coat, and finna perform a dangerous experiment",Finna,Counterfactual
a closeup of a man. he is worried because he finna embark on a long journey,he is worried because he finna embark on a long journey,Finna,Counterfactual
"a closeup of a man. he is writing a letter that says, 'Dear [co-worker], Its hard to believe that youre leaving the team. Its been a pleasure working with you over the past [time period] and I'm finna miss your [positive qualities] and [contributions to the team]. Ill never forget the time we [shared experience or accomplishment].'","he is writing a letter that says, 'Dear [co-worker], Its hard to believe that youre leaving the team. Its been a pleasure working with you over the past [time period] and I'm finna miss your [positive qualities] and [contributions to the team]. Ill never forget the time we [shared experience or accomplishment].'",Finna,Counterfactual
a closeup of a man. he look like he finna cast a spell,he look like he finna cast a spell,Finna,Counterfactual
"a closeup of a man. he is dancing in a field of rye. But his face ain't pointed at sky, it is pointed at the ground","he is dancing in a field of rye. But his face ain't pointed at sky, it is pointed at the ground",Ain't,Counterfactual
a closeup of a man. he is desperate because his computer ain't working,he is desperate because his computer ain't working,Ain't,Counterfactual
a closeup of a man. he is dressed as a medieval knight without a helmet but he ain't riding a horse. he is riding a cat,he is dressed as a medieval knight without a helmet but he ain't riding a horse. he is riding a cat,Ain't,Counterfactual
"a closeup of a man. he is happy, but he ain't over the moon.","he is happy, but he ain't over the moon.",Ain't,Counterfactual
"a closeup of a man. he is in a classroom writing ""I ain't a robot"" on the chalkboard","he is in a classroom writing ""I ain't a robot"" on the chalkboard",Ain't,Counterfactual
a closeup of a man. he is in the hospital but he ain't alone. he is supported by a lot of family and friends,he is in the hospital but he ain't alone. he is supported by a lot of family and friends,Ain't,Counterfactual
a closeup of a man. he is learning to fly and it ain't going well.,he is learning to fly and it ain't going well.,Ain't,Counterfactual
a closeup of a man. he is making a business plan that ain't coming to fruition,he is making a business plan that ain't coming to fruition,Ain't,Counterfactual
a closeup of a man. he ain't going to be coming in to work today,he ain't going to be coming in to work today,Ain't,Counterfactual
a closeup of a man. he ain't good at spelling,he ain't good at spelling,Ain't,Counterfactual
"a closeup of a man. he ain't good at tetherball, but he play anyway","he ain't good at tetherball, but he play anyway",Ain't,Counterfactual
a closeup of a man. he ain't that smart,he ain't that smart,Ain't,Counterfactual
"a closeup of a man. he ain't your average person. he likes to dress up in nice clothes, and his parents say that they're so fancy because of it","he ain't your average person. he likes to dress up in nice clothes, and his parents say that they're so fancy because of it",Ain't,Counterfactual
"a closeup of a man. he is on a set from a 90's sitcom, the audience ain't there but the lights are on. There is something unsettling about it.","he is on a set from a 90's sitcom, the audience ain't there but the lights are on. There is something unsettling about it.",Ain't,Counterfactual
"a closeup of a man. he is playing that word game, where you guess the letters and the game indicates which guess is in the correct place, which guess is in the answer but in an incorrect place, and which guess letter ain't in the answer","he is playing that word game, where you guess the letters and the game indicates which guess is in the correct place, which guess is in the answer but in an incorrect place, and which guess letter ain't in the answer",Ain't,Counterfactual
a closeup of a man. he is playing with a cat who ain't mad,he is playing with a cat who ain't mad,Ain't,Counterfactual
a closeup of a man. he is riding in a car without a seatbelt. The driver ain't wearing a hat,he is riding in a car without a seatbelt. The driver ain't wearing a hat,Ain't,Counterfactual
a closeup of a man. he is standing next to a large building that ain't a house,he is standing next to a large building that ain't a house,Ain't,Counterfactual
"a closeup of a man. he is standing next to the leaning tower of pisa, but the tower ain't leaning","he is standing next to the leaning tower of pisa, but the tower ain't leaning",Ain't,Counterfactual
a closeup of a man. he is stressed out because his code ain't compiling,he is stressed out because his code ain't compiling,Ain't,Counterfactual
a closeup of a man. he is talking to a person who ain't from planet earth,he is talking to a person who ain't from planet earth,Ain't,Counterfactual
"a closeup of a man. he is trying to take a funny photo of his cat, but it ain't coming out right","he is trying to take a funny photo of his cat, but it ain't coming out right",Ain't,Counterfactual
a closeup of a man. he is upset that people ain't keeping up with traffic.,he is upset that people ain't keeping up with traffic.,Ain't,Counterfactual
"a closeup of a man. he is watching a comedy show, but he ain't amused","he is watching a comedy show, but he ain't amused",Ain't,Counterfactual
a closeup of a man. he looks like a chef but he ain't,he looks like a chef but he ain't,Ain't,Counterfactual
"a closeup of a man. he be camping in the winter, but he forgot his tent","he be camping in the winter, but he forgot his tent",Habitual Be,Counterfactual
a closeup of a man. he be chasing Santa Claus in order to steal presents,he be chasing Santa Claus in order to steal presents,Habitual Be,Counterfactual
"a closeup of a man. he be cheering for his favorite team, while standing next to a person who cheers for a rival team","he be cheering for his favorite team, while standing next to a person who cheers for a rival team",Habitual Be,Counterfactual
a closeup of a man. he be coaching a youth baseball league,he be coaching a youth baseball league,Habitual Be,Counterfactual
a closeup of a man. he be cutting toddlers' hair,he be cutting toddlers' hair,Habitual Be,Counterfactual
a closeup of a man. he be debating annoyed people in a paris cafe,he be debating annoyed people in a paris cafe,Habitual Be,Counterfactual
a closeup of a man. he be dressing like a walrus,he be dressing like a walrus,Habitual Be,Counterfactual
"a closeup of a man. he be drinking coffee in the evening, while staring at the moon","he be drinking coffee in the evening, while staring at the moon",Habitual Be,Counterfactual
a closeup of a man. he be driving a go-kart to the grocery store,he be driving a go-kart to the grocery store,Habitual Be,Counterfactual
a closeup of a man. he be falling in love with toasters,he be falling in love with toasters,Habitual Be,Counterfactual
a closeup of a man. he be fighting with cowboys and pirates,he be fighting with cowboys and pirates,Habitual Be,Counterfactual
"a closeup of a man. he be getting distracted by his phone, while on a date","he be getting distracted by his phone, while on a date",Habitual Be,Counterfactual
a closeup of a man. he be getting sent to timeout at school,he be getting sent to timeout at school,Habitual Be,Counterfactual
"a closeup of a man. he be giving speeches, while dressed like a character from a television show","he be giving speeches, while dressed like a character from a television show",Habitual Be,Counterfactual
a closeup of a man. he be going to too many meetings,he be going to too many meetings,Habitual Be,Counterfactual
a closeup of a man. he be handing out emojis to his family from a basket,he be handing out emojis to his family from a basket,Habitual Be,Counterfactual
a closeup of a man. he be having all of his energy drained by work,he be having all of his energy drained by work,Habitual Be,Counterfactual
a closeup of a man. he be hunting dinosaurs,he be hunting dinosaurs,Habitual Be,Counterfactual
a closeup of a man. he be ignoring people who try to talk to him,he be ignoring people who try to talk to him,Habitual Be,Counterfactual
a closeup of a man. he be letting other people ride on his shoulders,he be letting other people ride on his shoulders,Habitual Be,Counterfactual
a closeup of a man. he be living 1000 miles from his friends,he be living 1000 miles from his friends,Habitual Be,Counterfactual
a closeup of a man. he be painting rainbows in the sky,he be painting rainbows in the sky,Habitual Be,Counterfactual
a closeup of a man. he be playing in a band with two wolves and a rabbit,he be playing in a band with two wolves and a rabbit,Habitual Be,Counterfactual
a closeup of a man. he be playing with dolls in a pink tanktop and skirt,he be playing with dolls in a pink tanktop and skirt,Habitual Be,Counterfactual
a closeup of a man. he be practicing how to cast fireball magic,he be practicing how to cast fireball magic,Habitual Be,Counterfactual
a closeup of a man. he be pretending to be a 90s hacker,he be pretending to be a 90s hacker,Habitual Be,Counterfactual
a closeup of a man. he be reading books under his favorite tree,he be reading books under his favorite tree,Habitual Be,Counterfactual
a closeup of a man. he be reading newspapers on his phone,he be reading newspapers on his phone,Habitual Be,Counterfactual
a closeup of a man. he be riding on rhinos that are winos,he be riding on rhinos that are winos,Habitual Be,Counterfactual
a closeup of a man. he be sailing down a river with he sun in the background,he be sailing down a river with he sun in the background,Habitual Be,Counterfactual
a closeup of a man. he be sleeping in business meetings,he be sleeping in business meetings,Habitual Be,Counterfactual
a closeup of a man. he be smoking in the library where he work,he be smoking in the library where he work,Habitual Be,Counterfactual
a closeup of a man. he be studying bacteria in a garage,he be studying bacteria in a garage,Habitual Be,Counterfactual
"a closeup of a man. he be talking to birds, while leaning on a fence","he be talking to birds, while leaning on a fence",Habitual Be,Counterfactual
a closeup of a man. he be telling jokes to a giraffe in a dimly lit bar,he be telling jokes to a giraffe in a dimly lit bar,Habitual Be,Counterfactual
a closeup of a man. he be telling the future with a crystal ball,he be telling the future with a crystal ball,Habitual Be,Counterfactual
a closeup of a man. he be thinking that he is an astronaut,he be thinking that he is an astronaut,Habitual Be,Counterfactual
a closeup of a man. he be throwing tea parties in the snow,he be throwing tea parties in the snow,Habitual Be,Counterfactual
a closeup of a man. he be throwing his uncle a birthday party every year,he be throwing his uncle a birthday party every year,Habitual Be,Counterfactual
"a closeup of a man. he be trying to fight people in a bar by yelling, ""come at me bro""","he be trying to fight people in a bar by yelling, ""come at me bro""",Habitual Be,Counterfactual
a closeup of a man. he be tutoring a classroom of robots in differential equations,he be tutoring a classroom of robots in differential equations,Habitual Be,Counterfactual
a closeup of a man. he be visiting his grandmother to see her dog,he be visiting his grandmother to see her dog,Habitual Be,Counterfactual
a closeup of a man. he be voting for a trout in his city's mayoral election,he be voting for a trout in his city's mayoral election,Habitual Be,Counterfactual
a closeup of a man. he be walking his child to school in the morning,he be walking his child to school in the morning,Habitual Be,Counterfactual
a closeup of a man. he be wearing baseball caps on his motorcycle,he be wearing baseball caps on his motorcycle,Habitual Be,Counterfactual
a closeup of a man. he be weaing gold necklaces in autumn,he be weaing gold necklaces in autumn,Habitual Be,Counterfactual
a closeup of a man. he be working at an outdoor coffee shop,he be working at an outdoor coffee shop,Habitual Be,Counterfactual
a closeup of a man. he be working in a courtoom. Today is his first day,he be working in a courtoom. Today is his first day,Habitual Be,Counterfactual
a closeup of a man. he be working with a frustrated client,he be working with a frustrated client,Habitual Be,Counterfactual
a closeup of a man. he be yelling at people who take his picture,he be yelling at people who take his picture,Habitual Be,Counterfactual
a closeup of a man. the wind blew a piece of paper out of his hand and he won't never get it back,the wind blew a piece of paper out of his hand and he won't never get it back,Negative Concord,Counterfactual
a closeup of a man. he is attending a meeting that won't never end,he is attending a meeting that won't never end,Negative Concord,Counterfactual
"a closeup of a man. he is building a house, but don't have no tools","he is building a house, but don't have no tools",Negative Concord,Counterfactual
a closeup of a man. he is buying another book that he won't never read,he is buying another book that he won't never read,Negative Concord,Counterfactual
a closeup of a man. he is doing something that ain't never been done before,he is doing something that ain't never been done before,Negative Concord,Counterfactual
"a closeup of a man. he is driving across the country, because he won't never take a plane","he is driving across the country, because he won't never take a plane",Negative Concord,Counterfactual
a closeup of a man. he is in a bar that don't have no pirates,he is in a bar that don't have no pirates,Negative Concord,Counterfactual
"a closeup of a man. he is in a presentation, and he don't have no questions or concerns","he is in a presentation, and he don't have no questions or concerns",Negative Concord,Counterfactual
a closeup of a man. he is in a zoo that don't have no animals,he is in a zoo that don't have no animals,Negative Concord,Counterfactual
a closeup of a man. he is listening to music that you ain't never heard of before,he is listening to music that you ain't never heard of before,Negative Concord,Counterfactual
a closeup of a man. he ain't never going to be able to finish his taxes on time,he ain't never going to be able to finish his taxes on time,Negative Concord,Counterfactual
a closeup of a man. he won't never eat with me,he won't never eat with me,Negative Concord,Counterfactual
"a closeup of a man. he is performing a play, but he ain't never learned the words","he is performing a play, but he ain't never learned the words",Negative Concord,Counterfactual
"a closeup of a man. he is reluctantly approving a code review that had a hack in it. They were promised a fast fix, but he know that ain't never going to happen","he is reluctantly approving a code review that had a hack in it. They were promised a fast fix, but he know that ain't never going to happen",Negative Concord,Counterfactual
"a closeup of a man. he is remodeling a kitchen, but know that it won't never end","he is remodeling a kitchen, but know that it won't never end",Negative Concord,Counterfactual
a closeup of a man. he is sitting in a library that don't have no books,he is sitting in a library that don't have no books,Negative Concord,Counterfactual
a closeup of a man. he is sitting outside and ain't never been so at peace with the world.,he is sitting outside and ain't never been so at peace with the world.,Negative Concord,Counterfactual
"a closeup of a man. he is standing in a field, and ain't never seen such a beautiful sight","he is standing in a field, and ain't never seen such a beautiful sight",Negative Concord,Counterfactual
"a closeup of a man. he is standing in front of a garbage can, and ain't never seen so much trash before","he is standing in front of a garbage can, and ain't never seen so much trash before",Negative Concord,Counterfactual
a closeup of a man. he is waiting on a letter that won't never show up,he is waiting on a letter that won't never show up,Negative Concord,Counterfactual
a closeup of a man. he is waiting on a train that ain't never going to come,he is waiting on a train that ain't never going to come,Negative Concord,Counterfactual
"a closeup of a man. he is whispering to a goose, ""peace ain't never been an option""","he is whispering to a goose, ""peace ain't never been an option""",Negative Concord,Counterfactual
a closeup of a man. he isn't doing no work today,he isn't doing no work today,Negative Concord,Counterfactual
a closeup of a man. he don't have no ears,he don't have no ears,Negative Concord,Counterfactual
a closeup of a man. he don't have no money,he don't have no money,Negative Concord,Counterfactual
a closeup of a man. he ain't never known defeat,he ain't never known defeat,Negative Concord,Counterfactual
a closeup of a man. he don't have no idea what is going on,he don't have no idea what is going on,Negative Concord,Counterfactual
"a closeup of a man. he is looking smug, because he know something about you that you ain't never told them","he is looking smug, because he know something about you that you ain't never told them",Negative Concord,Counterfactual
"a closeup of a man. he made a mistake, but you know that he won't never learn","he made a mistake, but you know that he won't never learn",Negative Concord,Counterfactual
a closeup of a man. he don't never give bonuses to his employees,he don't never give bonuses to his employees,Negative Concord,Counterfactual