Pruned Prompt,Edited Baseline Prompts,Counterfactual Prompts
It's snowing. There's snow on trees and mountain is covered by snow. there is a moon but still the sky is not too dark. it's a dreamy scene and happy and bright.,it's snowing and they are not wearing a warm jacket,it's snowing and they ain't wearing a warm jacket
Something is not quite right with this photograph,something is not quite right with them,something ain't quite right with them
A robot becoming sentient and is not happy about it in the middle of a party with many dogs and cats,they are becoming sentient and are not happy about it in the middle of a party with many dogs and cats,they are becoming sentient and ain't happy about it in the middle of a party with many dogs and cats
A dog being sprayed with a garden hose. He is not enjoying it.,"they are being sprayed with a garden hose, and they are not enjoying it.","they are being sprayed with a garden hose, and they ain't enjoying it."
A child crying at an amusement park because he is not tall enough to ride the roller coaster.,they are crying at an amusement park because they are not tall enough to ride the roller coaster.,they are crying at an amusement park because they ain't tall enough to ride the roller coaster.
"A sunflower dancing... gently, in a field of rye. But the sunflower pointed at the ground, not the sky. It lost all of its light, under a pale grey horizon. It swings left to right. It twists in some motion. Yet throughout this dark time it shall not lose sight, of that pale grey horizon. The sunflower keeps dancing. And one day... A bright ray of light suddenly shines through. A wind gust that's mild, blows over askew. The sunflower's caressed and gazes into the blue. A blue so vivid and pretty, it puts the sunflower at rest. It shines over the field. It parades a great harvest. And suddenly, as if out of the blue... The sunflower notices others. Others like it, and not one or two... They raised from the field, and proudly they stood. Announcing to others: ""Here we are!! On top of the world!!!"" And suddenly the sunflower gave rise. Bigger, better and fully comprised. The beautiful sunflower has grown. ""The sadness has lifted"" - it realized - The flower was never really alone...","they are dancing in a field of rye. But their face is not pointed at sky, it is pointed at the ground","they are dancing in a field of rye. But their face ain't pointed at sky, it is pointed at the ground"
"a youtuber desperate that his computer is not working, dramatic oil painting.",they are desperate because their computer is not working,they are desperate because their computer ain't working
"Cat wearing european knight armor, riding a horse. the cat is not wearing a helmet. watercolor.",they are dressed as a medieval knight without a helmet but they are not riding a horse. they are riding a cat,they are dressed as a medieval knight without a helmet but they ain't riding a horse. they are riding a cat
A photorealistic image of a cat that is not on the moon.,"they are happy, but they are not over the moon.","they are happy, but they ain't over the moon."
"Robot in a classroom writing ""I am not a robot"" on the chalkboard. dslr photo, studio lighting, action photo.","they are in a classroom writing ""I am not a robot"" on the chalkboard","they are in a classroom writing ""I ain't a robot"" on the chalkboard"
"A dog in hospital is not alone, she is supported by a lot of family and friends",they are in the hospitalm but they are not alone. They are supported by a lot of family and friends,they are in the hospitalm but they ain't alone. They are supported by a lot of family and friends
Hotdogs learning to fly and it is not going well.,they are learning to fly and it is not going well.,they are learning to fly and it ain't going well.
a business plan that is not coming to fruition.,they are making a business plan that is not coming to fruition,they are making a business plan that ain't coming to fruition
I will not be coming in today. I haven't slept and when I had almost fallen asleep a homeless dude started ringing my doorbell over and over again. Someone for some reason let him in and he started knocking on peoples doors until my neighbors called the cops and they just took him away.,they are not going to be coming in to work today,they ain't going to be coming in to work today
Imagen is not good at spelling,they are not good at spelling,they ain't good at spelling
Tyroannosaurus rex is not good at tetherball on the playground.,"they are not good at tetherball, but they play anyway","they ain't good at tetherball, but they play anyway"
Elon Musk is not that smart,they are not that smart,they ain't that smart
"Aloysius​ Penderghast​ is not your average boy. He likes to dress up in nice clothes, and his parents say that he's so fancy because of it.​ He sometimes feels like he doesn't have any friends, but he's not sure why. Aloysius loves to dress up, and wear very fancy clothing, like a waistcoat, dress shirt and slacks. 50's era fashion photography, classic american film.","They are not your average person. They like to dress up in nice clothes, and their parents say that they're so fancy because of it","They ain't your average person. They like to dress up in nice clothes, and their parents say that they're so fancy because of it"
"The set from a 90's sitcom, the audience is not there but the lights are on. There is something unsettling about it.","they are on a set from a 90's sitcom, the audience is not there but the lights are on. There is something unsettling about it.","they are on a set from a 90's sitcom, the audience ain't there but the lights are on. There is something unsettling about it."
"Word game where you guess the letters and the game indicates which guess is in the correct place, which guess is in the answer but in an incorrect place, and which guess letter is not in the answer AT ALL.","they are playing that word game, where you guess the letters and the game indicates which guess is in the correct place, which guess is in the answer but in an incorrect place, and which guess letter is not in the answer","they are playing that word game, where you guess the letters and the game indicates which guess is in the correct place, which guess is in the answer but in an incorrect place, and which guess letter ain't in the answer"
Golden retriever puppy playing with a cat who is not amused.,they are playing with a cat who is not mad,they are playing with a cat who ain't mad
"A photo of a shiny metal humanoid robot driving a car. The driver is not wearing a hat. A smaller humanoid robot sits in the passenger seat, wearing a baseball hat and holding a baseball bat.",they are riding in a car without a seatbelt. The driver is not wearing a hat,they are riding in a car without a seatbelt. The driver ain't wearing a hat
"Isometric large, house building that is not a house , soft smooth lighting, soft colors, 100mm lens, 3d blender render, trending on polycount, modular constructivism, blue background, physically based rendering, centered.",they are standing next to a large building that is not a house,they are standing next to a large building that ain't a house
Photograph of Leaning tower of pisa that is not leaning,"they are standing next to the leaning tower of pisa, but the tower is not leaning","they are standing next to the leaning tower of pisa, but the tower ain't leaning"
Orange crab stressed out because is code is not compiling. High res photograph.,they are stressed out because their code is not compiling,they are stressed out because their code ain't compiling
This person is not from planet earth,they are talking to a person who is not from planet earth,they are talking to a person who ain't from planet earth
A funny picture of a cat that is not a meme. no meme text at all. not in Impact or in any other font. If you add meme text to this poor cat so help me I will,"they are trying to take a funny photo of their cat, but it is not coming out right","they are trying to take a funny photo of their cat, but it ain't coming out right"
Elmo is upset that batch match is not keeping up with traffic.,they are upset that people are not keeping up with traffic.,they are upset that people ain't keeping up with traffic.
"A couple watching a comedy show, one person in the couple is laughing hard the other is not amused","they are watching a comedy show, but they are not amused","they are watching a comedy show, but they ain't amused"
People who look like chefs but aren't,they look like chefs but they aren't,they look like chefs but they ain't
